date,symbol,marketcapname,sector
2023-07-06,ONGC,Largecap,Oils
2023-07-06,GAIL,Largecap,Industrials
2023-07-06,COALINDIA,Largecap,Industrials
2023-07-07,BOSCHLTD,Largecap,Auto
2023-07-19,HAVELLS,Largecap,FMCG
2023-07-20,KOTAKBANK,Largecap,Bank
2023-07-25,ACC,Largecap,Industrials
2023-07-25,AMBUJACEM,Largecap,Industrials
2023-07-25,ADANIENSOL,Largecap,Miscellaneous
2023-07-28,MARICO,Largecap,FMCG
2023-07-31,ABB,Largecap,FMCG
2023-07-31,SIEMENS,Largecap,FMCG
2023-07-31,POWERGRID,Largecap,Miscellaneous
2023-08-01,PAGEIND,Largecap,FMCG
2023-08-03,IRCTC,Largecap,Miscellaneous
2023-08-08,PIIND,Largecap,Industrials
2023-08-08,TECHM,Largecap,I.T
2023-08-14,LTIM,Largecap,I.T
2023-08-14,VBL,Largecap,FMCG
2023-08-16,HCLTECH,Largecap,I.T
2023-08-17,TITAN,Largecap,Miscellaneous
2023-08-18,ADANIENT,Largecap,Services
2023-08-22,ATGL,Largecap,Industrials
2023-08-23,SRF,Largecap,Industrials
2023-08-23,CHOLAFIN,Largecap,Finance
2023-08-23,HAL,Largecap,Aerospace & Defence
2023-08-24,AXISBANK,Largecap,Bank
2023-08-28,INDUSTOWER,Largecap,Telecom
2023-08-29,BAJFINANCE,Largecap,Finance
2023-08-30,M&M,Largecap,Auto
2023-08-30,SIEMENS,Largecap,FMCG
2023-08-30,DMART,Largecap,FMCG
2023-08-30,MARUTI,Largecap,Auto
2023-08-31,TATASTEEL,Largecap,Metals
2023-09-01,INFY,Largecap,I.T
2023-09-01,BOSCHLTD,Largecap,Auto
2023-09-04,SHREECEM,Largecap,Industrials
2023-09-04,ULTRACEMCO,Largecap,Industrials
2023-09-04,DLF,Largecap,Realty
2023-09-06,NAUKRI,Largecap,I.T
2023-09-07,JSWSTEEL,Largecap,Metals
2023-09-07,UPL,Largecap,Industrials
2023-09-08,HDFCLIFE,Largecap,Services
2023-09-08,IOC,Largecap,Industrials
2023-09-08,POWERGRID,Largecap,Miscellaneous
2023-09-08,NYKAA,Largecap,I.T
2023-09-11,HDFCBANK,Largecap,Bank
2023-09-11,BPCL,Largecap,Industrials
2023-09-11,APOLLOHOSP,Largecap,Pharmaceuticals
2023-09-11,BANKBARODA,Largecap,Bank
2023-09-11,BAJAJFINSV,Largecap,Finance
2023-09-11,ICICIPRULI,Largecap,Services
2023-09-12,DIVISLAB,Largecap,Pharmaceuticals
2023-09-12,BAJAJ-AUTO,Largecap,Auto
