date,symbol,marketcapname,sector
07-02-2023,ADANIENT,Largecap,Services
28-02-2023,ADANIENT,Largecap,Services
01-03-2023,ADANIENT,Largecap,Services
03-03-2023,ADANIENT,Largecap,Services
26-07-2023,TATAMTRDVR,Largecap,Auto
08-09-2023,PFC,Largecap,Finance
20-09-2023,PFC,Largecap,Finance
28-11-2023,ADANIGREEN,Largecap,Miscellaneous
28-11-2023,ATGL,Largecap,Industrials
28-11-2023,ADANIPOWER,Largecap,Miscellaneous
28-11-2023,ADANIENSOL,Largecap,Miscellaneous
29-11-2023,ATGL,Largecap,Industrials
05-12-2023,ADANIGREEN,Largecap,Miscellaneous
05-12-2023,ATGL,Largecap,Industrials
05-12-2023,ADANIPORTS,Largecap,Industrials
05-12-2023,ADANIPOWER,Largecap,Miscellaneous
05-12-2023,ADANIENSOL,Largecap,Miscellaneous
06-12-2023,ADANIGREEN,Largecap,Miscellaneous
06-12-2023,ATGL,Largecap,Industrials
18-12-2023,IRCTC,Largecap,Miscellaneous
15-01-2024,IRFC,Largecap,Finance
05-02-2024,JIOFIN,Smallcap,
13-02-2024,IRFC,Largecap,Finance
14-03-2024,IRFC,Largecap,Finance
