date,symbol,marketcapname,sector
25-06-2020,HAL,Largecap,Aerospace & Defence
15-07-2020,WIPRO,Largecap,I.T
17-07-2020,BPCL,Largecap,Industrials
13-08-2020,HAL,Largecap,Aerospace & Defence
13-08-2020,INDIGO,Largecap,Services
19-08-2020,ADANIENT,Largecap,Services
25-08-2020,ADANIENT,Largecap,Services
01-10-2020,INDUSINDBK,Largecap,Bank
27-10-2020,KOTAKBANK,Largecap,Bank
17-11-2020,ATGL,Largecap,Industrials
18-11-2020,ATGL,Largecap,Industrials
27-11-2020,VBL,Largecap,FMCG
04-12-2020,IRCTC,Largecap,Miscellaneous
08-12-2020,CANBK,Largecap,Bank
29-01-2021,SHRIRAMFIN,Largecap,Finance
01-02-2021,ICICIBANK,Largecap,Bank
01-02-2021,INDUSINDBK,Largecap,Bank
02-02-2021,TATAMTRDVR,Largecap,Auto
02-02-2021,TATAMOTORS,Largecap,Auto
15-02-2021,CHOLAFIN,Largecap,Finance
16-02-2021,ATGL,Largecap,Industrials
03-03-2021,ATGL,Largecap,Industrials
06-04-2021,ADANIPORTS,Largecap,Industrials
28-04-2021,TVSMOTOR,Largecap,Auto
12-05-2021,GODREJCP,Largecap,FMCG
02-06-2021,MOTHERSON,Largecap,Auto
07-06-2021,ADANIPOWER,Largecap,Miscellaneous
08-06-2021,ADANIPOWER,Largecap,Miscellaneous
15-09-2021,TATAMTRDVR,Largecap,Auto
07-10-2021,TATAMOTORS,Largecap,Auto
13-10-2021,TATAMTRDVR,Largecap,Auto
13-10-2021,TATAPOWER,Largecap,Miscellaneous
13-10-2021,TATAMOTORS,Largecap,Auto
18-10-2021,VEDL,Largecap,Industrials
18-10-2021,TATAPOWER,Largecap,Miscellaneous
10-02-2022,ADANIPOWER,Largecap,Miscellaneous
07-03-2022,ONGC,Largecap,Oils
29-03-2022,ADANIPOWER,Largecap,Miscellaneous
07-02-2023,ADANIENT,Largecap,Services
28-02-2023,ADANIENT,Largecap,Services
01-03-2023,ADANIENT,Largecap,Services
03-03-2023,ADANIENT,Largecap,Services
26-07-2023,TATAMTRDVR,Largecap,Auto
08-09-2023,PFC,Largecap,Finance
20-09-2023,PFC,Largecap,Finance
28-11-2023,ADANIGREEN,Largecap,Miscellaneous
28-11-2023,ATGL,Largecap,Industrials
28-11-2023,ADANIPOWER,Largecap,Miscellaneous
28-11-2023,ADANIENSOL,Largecap,Miscellaneous
29-11-2023,ATGL,Largecap,Industrials
05-12-2023,ADANIGREEN,Largecap,Miscellaneous
05-12-2023,ATGL,Largecap,Industrials
05-12-2023,ADANIPORTS,Largecap,Industrials
05-12-2023,ADANIPOWER,Largecap,Miscellaneous
05-12-2023,ADANIENSOL,Largecap,Miscellaneous
06-12-2023,ADANIGREEN,Largecap,Miscellaneous
06-12-2023,ATGL,Largecap,Industrials
18-12-2023,IRCTC,Largecap,Miscellaneous
15-01-2024,IRFC,Largecap,Finance
05-02-2024,JIOFIN,Smallcap,
13-02-2024,IRFC,Largecap,Finance
14-03-2024,IRFC,Largecap,Finance
