date,symbol,marketcapname,sector
21-03-2024 10:15 am,CIPLA,Largecap,Pharmaceuticals
21-03-2024 1:15 pm,SUNPHARMA,Largecap,Pharmaceuticals
22-03-2024 9:15 am,TITAN,Largecap,Miscellaneous
22-03-2024 9:15 am,NESTLEIND,Largecap,FMCG
22-03-2024 9:15 am,ULTRACEMCO,Largecap,Industrials
22-03-2024 10:15 am,HEROMOTOCO,Largecap,Auto
22-03-2024 10:15 am,TATAMOTORS,Largecap,Auto
22-03-2024 12:15 pm,SBILIFE,Largecap,Services
22-03-2024 1:15 pm,GRASIM,Largecap,Textiles
26-03-2024 10:15 am,BRITANNIA,Largecap,FMCG
27-03-2024 3:15 pm,HDFCBANK,Largecap,Bank
28-03-2024 9:15 am,ICICIBANK,Largecap,Bank
28-03-2024 9:15 am,DIVISLAB,Largecap,Pharmaceuticals
28-03-2024 9:15 am,BAJAJFINSV,Largecap,Finance
28-03-2024 10:15 am,SBIN,Largecap,Bank
28-03-2024 10:15 am,AXISBANK,Largecap,Bank
28-03-2024 11:15 am,APOLLOHOSP,Largecap,Pharmaceuticals
28-03-2024 12:15 pm,DRREDDY,Largecap,Pharmaceuticals
28-03-2024 12:15 pm,ASIANPAINT,Largecap,Industrials
28-03-2024 1:15 pm,HINDUNILVR,Largecap,FMCG
28-03-2024 1:15 pm,WIPRO,Largecap,I.T
28-03-2024 1:15 pm,HDFCLIFE,Largecap,Services
28-03-2024 3:15 pm,BHARTIARTL,Largecap,Telecom
01-04-2024 9:15 am,INFY,Largecap,I.T
01-04-2024 2:15 pm,TCS,Largecap,I.T
02-04-2024 1:15 pm,TATACONSUM,Largecap,FMCG
03-04-2024 9:15 am,TECHM,Largecap,I.T
03-04-2024 11:15 am,BHARTIARTL,Largecap,Telecom
04-04-2024 1:15 pm,EICHERMOT,Largecap,Auto
04-04-2024 2:15 pm,TITAN,Largecap,Miscellaneous
04-04-2024 3:15 pm,LTIM,Largecap,I.T
05-04-2024 9:15 am,DRREDDY,Largecap,Pharmaceuticals
05-04-2024 9:15 am,KOTAKBANK,Largecap,Bank
05-04-2024 1:15 pm,ITC,Largecap,FMCG
05-04-2024 2:15 pm,INDUSINDBK,Largecap,Bank
08-04-2024 9:15 am,RELIANCE,Largecap,Industrials
08-04-2024 9:15 am,SBILIFE,Largecap,Services
08-04-2024 12:15 pm,HDFCLIFE,Largecap,Services
08-04-2024 12:15 pm,ICICIBANK,Largecap,Bank
09-04-2024 9:15 am,HEROMOTOCO,Largecap,Auto
09-04-2024 9:15 am,INFY,Largecap,I.T
09-04-2024 9:15 am,JSWSTEEL,Largecap,Metals
09-04-2024 9:15 am,GRASIM,Largecap,Textiles
09-04-2024 11:15 am,APOLLOHOSP,Largecap,Pharmaceuticals
10-04-2024 9:15 am,BPCL,Largecap,Industrials
10-04-2024 9:15 am,BHARTIARTL,Largecap,Telecom
10-04-2024 9:15 am,COALINDIA,Largecap,Industrials
10-04-2024 2:15 pm,SBIN,Largecap,Bank
12-04-2024 9:15 am,NESTLEIND,Largecap,FMCG
12-04-2024 10:15 am,TATAMOTORS,Largecap,Auto
12-04-2024 10:15 am,BAJAJ-AUTO,Largecap,Auto
15-04-2024 9:15 am,ONGC,Largecap,Oils
15-04-2024 9:15 am,TCS,Largecap,I.T
16-04-2024 10:15 am,EICHERMOT,Largecap,Auto
16-04-2024 11:15 am,HINDUNILVR,Largecap,FMCG
18-04-2024 9:15 am,BPCL,Largecap,Industrials
18-04-2024 9:15 am,HDFCLIFE,Largecap,Services
18-04-2024 9:15 am,POWERGRID,Largecap,Miscellaneous
18-04-2024 10:15 am,GRASIM,Largecap,Textiles
18-04-2024 11:15 am,M&M,Largecap,Auto
18-04-2024 11:15 am,MARUTI,Largecap,Auto
18-04-2024 11:15 am,ADANIPORTS,Largecap,Industrials
18-04-2024 11:15 am,BAJAJ-AUTO,Largecap,Auto
18-04-2024 12:15 pm,TATACONSUM,Largecap,FMCG
19-04-2024 12:15 pm,HDFCBANK,Largecap,Bank
19-04-2024 1:15 pm,BAJFINANCE,Largecap,Finance
19-04-2024 2:15 pm,JSWSTEEL,Largecap,Metals
19-04-2024 2:15 pm,M&M,Largecap,Auto
19-04-2024 2:15 pm,WIPRO,Largecap,I.T
19-04-2024 3:15 pm,AXISBANK,Largecap,Bank
22-04-2024 9:15 am,BPCL,Largecap,Industrials
22-04-2024 9:15 am,NIFTY,Smallcap,Indices
22-04-2024 9:15 am,ULTRACEMCO,Largecap,Industrials
22-04-2024 9:15 am,TECHM,Largecap,I.T
22-04-2024 9:15 am,BAJAJFINSV,Largecap,Finance
22-04-2024 10:15 am,DRREDDY,Largecap,Pharmaceuticals
22-04-2024 10:15 am,TATACONSUM,Largecap,FMCG
22-04-2024 10:15 am,SHRIRAMFIN,Largecap,Finance
22-04-2024 10:15 am,SBILIFE,Largecap,Services
22-04-2024 10:15 am,ICICIBANK,Largecap,Bank
22-04-2024 11:15 am,SBIN,Largecap,Bank
22-04-2024 1:15 pm,LT,Largecap,Realty
22-04-2024 2:15 pm,RELIANCE,Largecap,Industrials
22-04-2024 2:15 pm,ASIANPAINT,Largecap,Industrials
23-04-2024 9:15 am,TITAN,Largecap,Miscellaneous
