date,symbol,marketcapname,sector
24-04-2024 2:40 pm,HINDALCO,Largecap,Metals
24-04-2024 2:45 pm,SBIN,Largecap,Bank
24-04-2024 2:45 pm,TITAN,Largecap,Miscellaneous
24-04-2024 2:50 pm,TECHM,Largecap,I.T
24-04-2024 3:00 pm,DIVISLAB,Largecap,Pharmaceuticals
24-04-2024 3:10 pm,HEROMOTOCO,Largecap,Auto
24-04-2024 3:10 pm,ULTRACEMCO,Largecap,Industrials
24-04-2024 3:20 pm,INFY,Largecap,I.T
24-04-2024 3:20 pm,LTIM,Largecap,I.T
24-04-2024 3:25 pm,SUNPHARMA,Largecap,Pharmaceuticals
25-04-2024 9:15 am,BPCL,Largecap,Industrials
25-04-2024 9:15 am,NESTLEIND,Largecap,FMCG
25-04-2024 9:15 am,EICHERMOT,Largecap,Auto
25-04-2024 9:15 am,AXISBANK,Largecap,Bank
25-04-2024 9:15 am,HCLTECH,Largecap,I.T
25-04-2024 9:20 am,TCS,Largecap,I.T
25-04-2024 9:20 am,POWERGRID,Largecap,Miscellaneous
25-04-2024 9:25 am,ITC,Largecap,FMCG
25-04-2024 9:30 am,ICICIBANK,Largecap,Bank
25-04-2024 9:35 am,GRASIM,Largecap,Textiles
25-04-2024 9:35 am,ONGC,Largecap,Oils
25-04-2024 9:35 am,RELIANCE,Largecap,Industrials
25-04-2024 9:40 am,INDUSINDBK,Largecap,Bank
25-04-2024 9:40 am,ULTRACEMCO,Largecap,Industrials
25-04-2024 9:40 am,ADANIPORTS,Largecap,Industrials
25-04-2024 9:45 am,LT,Largecap,Realty
25-04-2024 9:50 am,M&M,Largecap,Auto
25-04-2024 9:55 am,HEROMOTOCO,Largecap,Auto
25-04-2024 9:55 am,NIFTY,Smallcap,Indices
25-04-2024 10:00 am,DRREDDY,Largecap,Pharmaceuticals
25-04-2024 10:10 am,HDFCBANK,Largecap,Bank
25-04-2024 10:10 am,WIPRO,Largecap,I.T
25-04-2024 10:10 am,BHARTIARTL,Largecap,Telecom
25-04-2024 10:10 am,COALINDIA,Largecap,Industrials
25-04-2024 10:15 am,NTPC,Largecap,Miscellaneous
25-04-2024 10:15 am,BAJAJ-AUTO,Largecap,Auto
25-04-2024 10:35 am,ADANIENT,Largecap,Services
25-04-2024 11:05 am,DIVISLAB,Largecap,Pharmaceuticals
25-04-2024 11:35 am,BAJFINANCE,Largecap,Finance
25-04-2024 11:35 am,BPCL,Largecap,Industrials
25-04-2024 11:35 am,SBILIFE,Largecap,Services
25-04-2024 11:35 am,BAJAJFINSV,Largecap,Finance
25-04-2024 11:55 am,BRITANNIA,Largecap,FMCG
25-04-2024 12:00 pm,CIPLA,Largecap,Pharmaceuticals
25-04-2024 12:05 pm,TATACONSUM,Largecap,FMCG
25-04-2024 12:15 pm,EICHERMOT,Largecap,Auto
25-04-2024 12:25 pm,HINDUNILVR,Largecap,FMCG
25-04-2024 12:55 pm,SHRIRAMFIN,Largecap,Finance
25-04-2024 1:00 pm,NESTLEIND,Largecap,FMCG
25-04-2024 1:00 pm,APOLLOHOSP,Largecap,Pharmaceuticals
25-04-2024 1:00 pm,ADANIENT,Largecap,Services
25-04-2024 1:00 pm,NIFTY,Smallcap,Indices
25-04-2024 1:15 pm,HINDUNILVR,Largecap,FMCG
25-04-2024 1:15 pm,ASIANPAINT,Largecap,Industrials
25-04-2024 1:20 pm,HDFCLIFE,Largecap,Services
25-04-2024 1:20 pm,LTIM,Largecap,I.T
25-04-2024 1:25 pm,POWERGRID,Largecap,Miscellaneous
25-04-2024 1:30 pm,HINDALCO,Largecap,Metals
25-04-2024 1:35 pm,JSWSTEEL,Largecap,Metals
25-04-2024 1:35 pm,SUNPHARMA,Largecap,Pharmaceuticals
25-04-2024 1:40 pm,INDUSINDBK,Largecap,Bank
25-04-2024 1:45 pm,LT,Largecap,Realty
25-04-2024 1:45 pm,M&M,Largecap,Auto
25-04-2024 1:45 pm,SBILIFE,Largecap,Services
25-04-2024 1:45 pm,HCLTECH,Largecap,I.T
25-04-2024 1:45 pm,BHARTIARTL,Largecap,Telecom
25-04-2024 1:45 pm,MARUTI,Largecap,Auto
25-04-2024 1:45 pm,ULTRACEMCO,Largecap,Industrials
25-04-2024 1:50 pm,TECHM,Largecap,I.T
25-04-2024 2:00 pm,CIPLA,Largecap,Pharmaceuticals
25-04-2024 2:00 pm,TITAN,Largecap,Miscellaneous
25-04-2024 2:00 pm,TATASTEEL,Largecap,Metals
25-04-2024 2:00 pm,WIPRO,Largecap,I.T
25-04-2024 2:05 pm,BAJAJ-AUTO,Largecap,Auto
25-04-2024 2:30 pm,TCS,Largecap,I.T
25-04-2024 2:45 pm,KOTAKBANK,Largecap,Bank
26-04-2024 9:15 am,DIVISLAB,Largecap,Pharmaceuticals
26-04-2024 9:25 am,SHRIRAMFIN,Largecap,Finance
26-04-2024 9:35 am,ICICIBANK,Largecap,Bank
26-04-2024 9:50 am,BPCL,Largecap,Industrials
26-04-2024 10:15 am,HEROMOTOCO,Largecap,Auto
26-04-2024 11:10 am,POWERGRID,Largecap,Miscellaneous
26-04-2024 11:20 am,TATACONSUM,Largecap,FMCG
26-04-2024 11:45 am,INDUSINDBK,Largecap,Bank
26-04-2024 11:50 am,SUNPHARMA,Largecap,Pharmaceuticals
26-04-2024 12:30 pm,ULTRACEMCO,Largecap,Industrials
26-04-2024 12:50 pm,TITAN,Largecap,Miscellaneous
26-04-2024 2:00 pm,BAJAJFINSV,Largecap,Finance
26-04-2024 2:30 pm,ITC,Largecap,FMCG
26-04-2024 2:35 pm,SHRIRAMFIN,Largecap,Finance
26-04-2024 2:40 pm,LT,Largecap,Realty
26-04-2024 2:45 pm,GRASIM,Largecap,Textiles
26-04-2024 2:50 pm,BAJFINANCE,Largecap,Finance
26-04-2024 3:20 pm,TCS,Largecap,I.T
26-04-2024 3:25 pm,NESTLEIND,Largecap,FMCG
26-04-2024 3:25 pm,ADANIENT,Largecap,Services
26-04-2024 3:25 pm,SUNPHARMA,Largecap,Pharmaceuticals
26-04-2024 3:25 pm,ICICIBANK,Largecap,Bank
26-04-2024 3:25 pm,ULTRACEMCO,Largecap,Industrials
