date,symbol,marketcapname,sector
18-04-2024 1:15 pm,HDFCBANK,Largecap,Bank
18-04-2024 1:15 pm,LT,Largecap,Realty
18-04-2024 1:15 pm,ASIANPAINT,Largecap,Industrials
18-04-2024 1:15 pm,NIFTY,Smallcap,Indices
18-04-2024 1:15 pm,INDUSINDBK,Largecap,Bank
18-04-2024 1:15 pm,ULTRACEMCO,Largecap,Industrials
18-04-2024 1:15 pm,TCS,Largecap,I.T
18-04-2024 1:15 pm,ADANIPORTS,Largecap,Industrials
18-04-2024 1:15 pm,COALINDIA,Largecap,Industrials
18-04-2024 1:30 pm,DRREDDY,Largecap,Pharmaceuticals
18-04-2024 1:30 pm,M&M,Largecap,Auto
18-04-2024 1:30 pm,BPCL,Largecap,Industrials
18-04-2024 1:30 pm,TATACONSUM,Largecap,FMCG
18-04-2024 1:30 pm,EICHERMOT,Largecap,Auto
18-04-2024 1:30 pm,POWERGRID,Largecap,Miscellaneous
18-04-2024 1:45 pm,GRASIM,Largecap,Textiles
18-04-2024 2:00 pm,ADANIENT,Largecap,Services
18-04-2024 2:15 pm,MARUTI,Largecap,Auto
18-04-2024 2:30 pm,SBIN,Largecap,Bank
18-04-2024 2:30 pm,JSWSTEEL,Largecap,Metals
18-04-2024 2:30 pm,KOTAKBANK,Largecap,Bank
18-04-2024 2:30 pm,TATASTEEL,Largecap,Metals
18-04-2024 2:30 pm,SHRIRAMFIN,Largecap,Finance
18-04-2024 2:45 pm,HINDALCO,Largecap,Metals
18-04-2024 2:45 pm,WIPRO,Largecap,I.T
18-04-2024 2:45 pm,DIVISLAB,Largecap,Pharmaceuticals
18-04-2024 3:00 pm,RELIANCE,Largecap,Industrials
18-04-2024 3:00 pm,SBILIFE,Largecap,Services
19-04-2024 9:15 am,INFY,Largecap,I.T
19-04-2024 9:15 am,HINDUNILVR,Largecap,FMCG
19-04-2024 9:15 am,HCLTECH,Largecap,I.T
19-04-2024 9:15 am,BAJAJ-AUTO,Largecap,Auto
19-04-2024 9:15 am,LTIM,Largecap,I.T
22-04-2024 1:15 pm,HDFCBANK,Largecap,Bank
22-04-2024 2:45 pm,JSWSTEEL,Largecap,Metals
23-04-2024 9:45 am,HINDALCO,Largecap,Metals
23-04-2024 9:45 am,POWERGRID,Largecap,Miscellaneous
23-04-2024 10:30 am,TATACONSUM,Largecap,FMCG
23-04-2024 10:45 am,SUNPHARMA,Largecap,Pharmaceuticals
23-04-2024 11:00 am,RELIANCE,Largecap,Industrials
23-04-2024 11:30 am,APOLLOHOSP,Largecap,Pharmaceuticals
23-04-2024 1:00 pm,BPCL,Largecap,Industrials
23-04-2024 1:00 pm,ADANIENT,Largecap,Services
23-04-2024 1:30 pm,DRREDDY,Largecap,Pharmaceuticals
23-04-2024 2:30 pm,CIPLA,Largecap,Pharmaceuticals
23-04-2024 3:00 pm,JSWSTEEL,Largecap,Metals
23-04-2024 3:00 pm,M&M,Largecap,Auto
23-04-2024 3:00 pm,HCLTECH,Largecap,I.T
23-04-2024 3:00 pm,BAJAJFINSV,Largecap,Finance
23-04-2024 3:15 pm,KOTAKBANK,Largecap,Bank
23-04-2024 3:15 pm,TATASTEEL,Largecap,Metals
23-04-2024 3:15 pm,TECHM,Largecap,I.T
24-04-2024 9:15 am,HINDUNILVR,Largecap,FMCG
24-04-2024 9:15 am,SBILIFE,Largecap,Services
24-04-2024 9:15 am,INDUSINDBK,Largecap,Bank
24-04-2024 10:00 am,INFY,Largecap,I.T
24-04-2024 11:15 am,TCS,Largecap,I.T
24-04-2024 12:30 pm,BAJFINANCE,Largecap,Finance
24-04-2024 12:30 pm,TITAN,Largecap,Miscellaneous
24-04-2024 12:45 pm,BAJAJ-AUTO,Largecap,Auto
24-04-2024 1:45 pm,GRASIM,Largecap,Textiles
24-04-2024 2:15 pm,WIPRO,Largecap,I.T
24-04-2024 3:00 pm,COALINDIA,Largecap,Industrials
24-04-2024 3:15 pm,MARUTI,Largecap,Auto
24-04-2024 3:15 pm,ADANIPORTS,Largecap,Industrials
25-04-2024 9:15 am,KOTAKBANK,Largecap,Bank
25-04-2024 9:15 am,LT,Largecap,Realty
25-04-2024 9:15 am,ASIANPAINT,Largecap,Industrials
25-04-2024 9:15 am,BRITANNIA,Largecap,FMCG
25-04-2024 9:15 am,APOLLOHOSP,Largecap,Pharmaceuticals
25-04-2024 9:15 am,NIFTY,Smallcap,Indices
25-04-2024 9:15 am,BAJAJFINSV,Largecap,Finance
25-04-2024 9:15 am,LTIM,Largecap,I.T
25-04-2024 9:45 am,SHRIRAMFIN,Largecap,Finance
25-04-2024 11:15 am,EICHERMOT,Largecap,Auto
25-04-2024 11:15 am,BHARTIARTL,Largecap,Telecom
25-04-2024 11:45 am,ULTRACEMCO,Largecap,Industrials
26-04-2024 9:15 am,BAJAJFINSV,Largecap,Finance
26-04-2024 9:30 am,M&M,Largecap,Auto
26-04-2024 9:30 am,TATACONSUM,Largecap,FMCG
26-04-2024 9:30 am,APOLLOHOSP,Largecap,Pharmaceuticals
26-04-2024 10:15 am,GRASIM,Largecap,Textiles
26-04-2024 10:15 am,LT,Largecap,Realty
26-04-2024 10:15 am,INDUSINDBK,Largecap,Bank
26-04-2024 11:00 am,SBIN,Largecap,Bank
26-04-2024 11:00 am,SHRIRAMFIN,Largecap,Finance
26-04-2024 12:15 pm,MARUTI,Largecap,Auto
26-04-2024 12:30 pm,NESTLEIND,Largecap,FMCG
26-04-2024 1:00 pm,HCLTECH,Largecap,I.T
26-04-2024 1:15 pm,TATASTEEL,Largecap,Metals
26-04-2024 1:15 pm,NIFTY,Smallcap,Indices
26-04-2024 1:15 pm,HDFCLIFE,Largecap,Services
26-04-2024 1:30 pm,HINDUNILVR,Largecap,FMCG
26-04-2024 1:30 pm,ICICIBANK,Largecap,Bank
26-04-2024 1:45 pm,HDFCBANK,Largecap,Bank
26-04-2024 2:00 pm,JSWSTEEL,Largecap,Metals
26-04-2024 2:00 pm,WIPRO,Largecap,I.T
26-04-2024 2:15 pm,TCS,Largecap,I.T
26-04-2024 2:45 pm,ASIANPAINT,Largecap,Industrials
26-04-2024 3:00 pm,INFY,Largecap,I.T
26-04-2024 3:00 pm,POWERGRID,Largecap,Miscellaneous
