date,symbol,marketcapname,sector
20-09-2023,HDFCBANK,Largecap,Bank
22-09-2023,JSWSTEEL,Largecap,Metals
22-09-2023,NIFTY,Smallcap,Indices
22-09-2023,ULTRACEMCO,Largecap,Industrials
25-09-2023,WIPRO,Largecap,I.T
25-09-2023,SBILIFE,Largecap,Services
26-09-2023,CIPLA,Largecap,Pharmaceuticals
28-09-2023,TITAN,Largecap,Miscellaneous
28-09-2023,INFY,Largecap,I.T
28-09-2023,TECHM,Largecap,I.T
29-09-2023,HCLTECH,Largecap,I.T
29-09-2023,LTIM,Largecap,I.T
03-10-2023,BPCL,Largecap,Industrials
04-10-2023,M&M,Largecap,Auto
04-10-2023,HDFCLIFE,Largecap,Services
09-10-2023,ADANIPORTS,Largecap,Industrials
18-10-2023,SBIN,Largecap,Bank
19-10-2023,TCS,Largecap,I.T
20-10-2023,AXISBANK,Largecap,Bank
20-10-2023,DIVISLAB,Largecap,Pharmaceuticals
23-10-2023,HINDALCO,Largecap,Metals
23-10-2023,TATASTEEL,Largecap,Metals
25-10-2023,LT,Largecap,Realty
25-10-2023,SHRIRAMFIN,Largecap,Finance
26-10-2023,BAJFINANCE,Largecap,Finance
26-10-2023,GRASIM,Largecap,Textiles
26-10-2023,TATAMOTORS,Largecap,Auto
26-10-2023,EICHERMOT,Largecap,Auto
26-10-2023,APOLLOHOSP,Largecap,Pharmaceuticals
26-10-2023,BHARTIARTL,Largecap,Telecom
26-10-2023,BAJAJFINSV,Largecap,Finance
31-10-2023,SUNPHARMA,Largecap,Pharmaceuticals
31-10-2023,LTIM,Largecap,I.T
01-11-2023,MARUTI,Largecap,Auto
17-11-2023,SBIN,Largecap,Bank
20-11-2023,AXISBANK,Largecap,Bank
23-11-2023,CIPLA,Largecap,Pharmaceuticals
24-11-2023,ONGC,Largecap,Oils
11-12-2023,DRREDDY,Largecap,Pharmaceuticals
20-12-2023,BPCL,Largecap,Industrials
20-12-2023,HDFCLIFE,Largecap,Services
20-12-2023,BHARTIARTL,Largecap,Telecom
22-12-2023,SBILIFE,Largecap,Services
26-12-2023,BAJFINANCE,Largecap,Finance
02-01-2024,ICICIBANK,Largecap,Bank
04-01-2024,LTIM,Largecap,I.T
08-01-2024,JSWSTEEL,Largecap,Metals
08-01-2024,M&M,Largecap,Auto
09-01-2024,ULTRACEMCO,Largecap,Industrials
10-01-2024,KOTAKBANK,Largecap,Bank
10-01-2024,NESTLEIND,Largecap,FMCG
10-01-2024,EICHERMOT,Largecap,Auto
11-01-2024,HINDUNILVR,Largecap,FMCG
12-01-2024,HDFCBANK,Largecap,Bank
15-01-2024,BAJAJFINSV,Largecap,Finance
17-01-2024,HINDALCO,Largecap,Metals
17-01-2024,ASIANPAINT,Largecap,Industrials
17-01-2024,DIVISLAB,Largecap,Pharmaceuticals
18-01-2024,BAJFINANCE,Largecap,Finance
18-01-2024,TATASTEEL,Largecap,Metals
18-01-2024,NIFTY,Smallcap,Indices
19-01-2024,INDUSINDBK,Largecap,Bank
23-01-2024,SBIN,Largecap,Bank
24-01-2024,AXISBANK,Largecap,Bank
29-01-2024,ITC,Largecap,FMCG
01-02-2024,TITAN,Largecap,Miscellaneous
01-02-2024,LT,Largecap,Realty
08-02-2024,BRITANNIA,Largecap,FMCG
13-02-2024,HINDALCO,Largecap,Metals
22-02-2024,HEROMOTOCO,Largecap,Auto
29-02-2024,APOLLOHOSP,Largecap,Pharmaceuticals
29-02-2024,TECHM,Largecap,I.T
29-02-2024,BAJAJ-AUTO,Largecap,Auto
13-03-2024,ONGC,Largecap,Oils
13-03-2024,ADANIENT,Largecap,Services
13-03-2024,NTPC,Largecap,Miscellaneous
13-03-2024,POWERGRID,Largecap,Miscellaneous
13-03-2024,ADANIPORTS,Largecap,Industrials
13-03-2024,COALINDIA,Largecap,Industrials
15-03-2024,SBIN,Largecap,Bank
15-03-2024,RELIANCE,Largecap,Industrials
15-03-2024,TATASTEEL,Largecap,Metals
15-03-2024,M&M,Largecap,Auto
15-03-2024,TATAMOTORS,Largecap,Auto
15-03-2024,SHRIRAMFIN,Largecap,Finance
18-03-2024,BPCL,Largecap,Industrials
19-03-2024,INFY,Largecap,I.T
19-03-2024,TATACONSUM,Largecap,FMCG
19-03-2024,NIFTY,Smallcap,Indices
22-03-2024,WIPRO,Largecap,I.T
22-03-2024,HCLTECH,Largecap,I.T
22-03-2024,TCS,Largecap,I.T
27-03-2024,DRREDDY,Largecap,Pharmaceuticals
12-04-2024,CIPLA,Largecap,Pharmaceuticals
16-04-2024,LT,Largecap,Realty
18-04-2024,TITAN,Largecap,Miscellaneous
18-04-2024,NESTLEIND,Largecap,FMCG
18-04-2024,NIFTY,Smallcap,Indices
18-04-2024,SUNPHARMA,Largecap,Pharmaceuticals
18-04-2024,ICICIBANK,Largecap,Bank
18-04-2024,BAJAJFINSV,Largecap,Finance
24-04-2024,HDFCLIFE,Largecap,Services
25-04-2024,KOTAKBANK,Largecap,Bank
25-04-2024,SBILIFE,Largecap,Services
26-04-2024,BAJFINANCE,Largecap,Finance
26-04-2024,INDUSINDBK,Largecap,Bank
