date,symbol,marketcapname,sector
22-03-2024 9:15 am,HDFCLIFE,Largecap,Services
22-03-2024 9:15 am,LTIM,Largecap,I.T
26-03-2024 9:15 am,TECHM,Largecap,I.T
26-03-2024 2:15 pm,BHARTIARTL,Largecap,Telecom
27-03-2024 9:15 am,APOLLOHOSP,Largecap,Pharmaceuticals
27-03-2024 2:15 pm,SBIN,Largecap,Bank
27-03-2024 2:15 pm,BAJAJFINSV,Largecap,Finance
01-04-2024 12:15 pm,BHARTIARTL,Largecap,Telecom
02-04-2024 9:15 am,HEROMOTOCO,Largecap,Auto
02-04-2024 9:15 am,SBILIFE,Largecap,Services
02-04-2024 9:15 am,ICICIBANK,Largecap,Bank
02-04-2024 11:15 am,KOTAKBANK,Largecap,Bank
02-04-2024 1:15 pm,INFY,Largecap,I.T
02-04-2024 2:15 pm,EICHERMOT,Largecap,Auto
03-04-2024 9:15 am,NESTLEIND,Largecap,FMCG
03-04-2024 9:15 am,ITC,Largecap,FMCG
03-04-2024 9:15 am,HDFCLIFE,Largecap,Services
03-04-2024 10:15 am,BRITANNIA,Largecap,FMCG
03-04-2024 2:15 pm,TITAN,Largecap,Miscellaneous
03-04-2024 2:15 pm,DRREDDY,Largecap,Pharmaceuticals
03-04-2024 2:15 pm,RELIANCE,Largecap,Industrials
04-04-2024 9:15 am,CIPLA,Largecap,Pharmaceuticals
04-04-2024 9:15 am,LT,Largecap,Realty
04-04-2024 9:15 am,HINDUNILVR,Largecap,FMCG
04-04-2024 9:15 am,INDUSINDBK,Largecap,Bank
04-04-2024 9:15 am,BAJAJ-AUTO,Largecap,Auto
04-04-2024 11:15 am,ONGC,Largecap,Oils
04-04-2024 11:15 am,BPCL,Largecap,Industrials
04-04-2024 11:15 am,POWERGRID,Largecap,Miscellaneous
04-04-2024 12:15 pm,GRASIM,Largecap,Textiles
04-04-2024 2:15 pm,SBIN,Largecap,Bank
04-04-2024 2:15 pm,ADANIPORTS,Largecap,Industrials
05-04-2024 9:15 am,JSWSTEEL,Largecap,Metals
05-04-2024 9:15 am,ULTRACEMCO,Largecap,Industrials
05-04-2024 11:15 am,BAJFINANCE,Largecap,Finance
05-04-2024 11:15 am,BHARTIARTL,Largecap,Telecom
08-04-2024 9:15 am,APOLLOHOSP,Largecap,Pharmaceuticals
09-04-2024 11:15 am,SUNPHARMA,Largecap,Pharmaceuticals
09-04-2024 11:15 am,COALINDIA,Largecap,Industrials
09-04-2024 12:15 pm,TITAN,Largecap,Miscellaneous
09-04-2024 12:15 pm,WIPRO,Largecap,I.T
09-04-2024 12:15 pm,TCS,Largecap,I.T
09-04-2024 12:15 pm,TECHM,Largecap,I.T
09-04-2024 1:15 pm,HEROMOTOCO,Largecap,Auto
09-04-2024 1:15 pm,TATAMOTORS,Largecap,Auto
09-04-2024 1:15 pm,ASIANPAINT,Largecap,Industrials
09-04-2024 1:15 pm,ADANIENT,Largecap,Services
10-04-2024 10:15 am,SBILIFE,Largecap,Services
10-04-2024 10:15 am,HDFCLIFE,Largecap,Services
10-04-2024 11:15 am,SHRIRAMFIN,Largecap,Finance
10-04-2024 1:15 pm,MARUTI,Largecap,Auto
10-04-2024 2:15 pm,TATASTEEL,Largecap,Metals
12-04-2024 9:15 am,HDFCBANK,Largecap,Bank
12-04-2024 12:15 pm,NIFTY,Smallcap,Indices
12-04-2024 2:15 pm,DRREDDY,Largecap,Pharmaceuticals
12-04-2024 2:15 pm,JSWSTEEL,Largecap,Metals
12-04-2024 2:15 pm,GRASIM,Largecap,Textiles
15-04-2024 9:15 am,SBIN,Largecap,Bank
15-04-2024 9:15 am,INFY,Largecap,I.T
15-04-2024 9:15 am,RELIANCE,Largecap,Industrials
15-04-2024 9:15 am,BPCL,Largecap,Industrials
15-04-2024 9:15 am,TATAMOTORS,Largecap,Auto
15-04-2024 9:15 am,ITC,Largecap,FMCG
15-04-2024 9:15 am,APOLLOHOSP,Largecap,Pharmaceuticals
15-04-2024 9:15 am,ICICIBANK,Largecap,Bank
15-04-2024 9:15 am,AXISBANK,Largecap,Bank
15-04-2024 9:15 am,BAJAJFINSV,Largecap,Finance
15-04-2024 9:15 am,LTIM,Largecap,I.T
15-04-2024 10:15 am,TATACONSUM,Largecap,FMCG
15-04-2024 12:15 pm,DIVISLAB,Largecap,Pharmaceuticals
15-04-2024 1:15 pm,TCS,Largecap,I.T
15-04-2024 2:15 pm,EICHERMOT,Largecap,Auto
15-04-2024 3:15 pm,INDUSINDBK,Largecap,Bank
16-04-2024 9:15 am,KOTAKBANK,Largecap,Bank
16-04-2024 11:15 am,BAJAJ-AUTO,Largecap,Auto
16-04-2024 12:15 pm,NTPC,Largecap,Miscellaneous
16-04-2024 1:15 pm,M&M,Largecap,Auto
18-04-2024 10:15 am,NESTLEIND,Largecap,FMCG
18-04-2024 1:15 pm,ONGC,Largecap,Oils
18-04-2024 1:15 pm,COALINDIA,Largecap,Industrials
18-04-2024 2:15 pm,GRASIM,Largecap,Textiles
18-04-2024 2:15 pm,M&M,Largecap,Auto
18-04-2024 2:15 pm,ADANIPORTS,Largecap,Industrials
19-04-2024 9:15 am,BPCL,Largecap,Industrials
19-04-2024 9:15 am,TATACONSUM,Largecap,FMCG
19-04-2024 9:15 am,HDFCLIFE,Largecap,Services
19-04-2024 9:15 am,BAJAJ-AUTO,Largecap,Auto
19-04-2024 10:15 am,HINDALCO,Largecap,Metals
24-04-2024 9:15 am,TATACONSUM,Largecap,FMCG
24-04-2024 2:15 pm,RELIANCE,Largecap,Industrials
25-04-2024 9:15 am,KOTAKBANK,Largecap,Bank
25-04-2024 9:15 am,HINDUNILVR,Largecap,FMCG
25-04-2024 9:15 am,SBILIFE,Largecap,Services
25-04-2024 11:15 am,TITAN,Largecap,Miscellaneous
26-04-2024 9:15 am,BAJFINANCE,Largecap,Finance
26-04-2024 9:15 am,BAJAJFINSV,Largecap,Finance
26-04-2024 10:15 am,INDUSINDBK,Largecap,Bank
26-04-2024 12:15 pm,NESTLEIND,Largecap,FMCG
26-04-2024 12:15 pm,SHRIRAMFIN,Largecap,Finance
26-04-2024 12:15 pm,MARUTI,Largecap,Auto
26-04-2024 2:15 pm,HCLTECH,Largecap,I.T
